29,62,43,30,14,42,30,19,55,27,3
25,36,29,19,28,36,26,28,30,27,3
21,70,43,40,10,39,40,14,47,29,3
19,43,29,24,26,33,28,19,38,24,3
24,66,41,24,16,30,33,16,46,24,3
16,41,26,18,17,32,29,25,35,24,3
21,79,26,34,7,51,30,13,59,27,3
33,60,31,28,20,47,30,14,53,37,3
13,58,37,24,22,42,32,20,38,27,3
17,63,20,17,18,42,27,23,41,34,3
13,59,21,22,18,42,29,13,45,21,3
29,47,50,25,12,27,45,26,48,30,3
21,61,29,27,8,35,26,18,56,19,3
25,54,48,31,18,42,34,27,45,26,3
17,47,28,17,13,37,30,26,30,22,3
19,45,42,21,17,34,21,27,43,27,3
25,70,28,29,12,39,20,18,60,28,3
11,43,44,20,19,40,27,24,35,24,3
24,83,31,44,10,38,29,18,68,40,3
19,39,31,17,18,39,27,23,35,30,3
32,54,52,39,15,46,28,25,55,26,3
23,67,23,21,16,38,31,26,49,30,3
8,26,16,22,13,19,28,15,47,25,3
22,71,30,26,14,52,17,18,60,17,3
18,74,27,27,21,48,19,25,60,25,3
12,46,37,18,24,36,29,26,35,19,3
23,71,29,35,20,33,31,19,59,38,3
17,45,44,20,9,45,28,28,46,24,3
26,70,26,24,22,49,19,25,66,28,3
37,54,50,26,9,47,36,20,44,34,3
22,72,29,38,28,42,38,16,65,36,3
28,66,34,22,21,44,29,24,61,34,3
15,51,47,23,22,40,18,29,36,27,3
23,44,59,26,14,36,44,21,44,29,3
21,60,31,21,13,49,16,27,33,27,3
20,36,26,21,19,36,36,24,47,26,3
17,59,30,23,12,53,22,19,44,31,3
14,46,44,35,14,48,30,35,45,25,3
24,55,36,29,11,29,23,13,49,24,3
16,62,21,12,18,45,22,21,54,22,3
23,45,33,26,21,33,32,29,30,24,3
28,68,28,33,9,60,31,19,43,29,3
29,48,56,21,20,32,44,21,36,26,3
18,40,31,18,17,44,33,28,36,20,3
18,55,34,18,12,67,18,23,44,19,3
24,48,33,16,13,45,28,28,40,27,3
12,54,32,23,11,55,29,30,35,23,3
17,45,49,24,30,45,40,19,40,38,3
25,61,30,37,19,58,27,22,43,31,3
12,47,38,16,18,32,35,11,34,16,3
25,67,33,25,14,60,32,16,51,19,3
18,39,43,22,17,38,38,35,48,35,3
13,40,32,18,15,51,20,23,45,22,3
4,28,19,19,16,19,28,19,52,24,3
10,60,46,29,18,51,22,21,47,21,3
12,45,29,12,21,38,40,20,32,30,3
17,61,32,25,8,34,21,12,49,23,3
34,64,38,28,10,43,30,17,45,23,3
7,36,20,18,30,20,34,21,43,22,3
31,79,29,26,17,76,28,18,47,34,3
11,35,21,28,15,25,27,22,46,26,3
13,31,30,21,26,43,34,19,41,25,3
